phrase_key,language_code,translated_text,source_name,source_page,source_url,license,verified
TERM_001,vi,Nước,우리농장 소통가이드_베트남.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=db7f6125398bba1b7f84ff909b8bfc2b,공공누리 제1유형(출처표시),true
TERM_001,ne,पानी,우리농장 소통가이드_네팔.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=f9a1967c526603d17ab488b9d2747cda,공공누리 제1유형(출처표시),true
TERM_002,vi,Đất,우리농장 소통가이드_베트남.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=db7f6125398bba1b7f84ff909b8bfc2b,공공누리 제1유형(출처표시),true
TERM_002,ne,जमिन,우리농장 소통가이드_네팔.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=f9a1967c526603d17ab488b9d2747cda,공공누리 제1유형(출처표시),true
TERM_003,vi,Nhổ cỏ,우리농장 소통가이드_베트남.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=db7f6125398bba1b7f84ff909b8bfc2b,공공누리 제1유형(출처표시),true
TERM_003,ne,गोडमेल,우리농장 소통가이드_네팔.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=f9a1967c526603d17ab488b9d2747cda,공공누리 제1유형(출처표시),true
TERM_004,vi,Hoa quả,우리농장 소통가이드_베트남.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=db7f6125398bba1b7f84ff909b8bfc2b,공공누리 제1유형(출처표시),true
TERM_004,ne,फल,우리농장 소통가이드_네팔.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=f9a1967c526603d17ab488b9d2747cda,공공누리 제1유형(출처표시),true
TERM_005,vi,Cành cây,우리농장 소통가이드_베트남.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=db7f6125398bba1b7f84ff909b8bfc2b,공공누리 제1유형(출처표시),true
TERM_005,ne,हाँगा,우리농장 소통가이드_네팔.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=f9a1967c526603d17ab488b9d2747cda,공공누리 제1유형(출처표시),true
TERM_006,vi,Thuốc diệt cỏ,우리농장 소통가이드_베트남.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=db7f6125398bba1b7f84ff909b8bfc2b,공공누리 제1유형(출처표시),true
TERM_006,ne,झारनाशक औषधिहरू,우리농장 소통가이드_네팔.pdf,6,https://www.andong.go.kr/cmm/fms/FileDown.do?atchFileId=6719f2e81d8866ed1f4aa13f288ce746830c36971962fac806f933b8a6ea96d7&fileSn=f9a1967c526603d17ab488b9d2747cda,공공누리 제1유형(출처표시),true
